id,topic,tone,target_audience,keywords_required,platform_hint,ref_event
01,신규 시절 가장 힘들었던 순간 (1),공감형,신규RN,"프리셉터,태움,라운딩",card,환자안전주간
02,듀티표 보고 한숨 쉬는 이유 (2),공감형,신규RN,"나이트,번아웃,듀티표",kakao,
03,투약 사고 막는 나만의 루틴 (3),공감형,신규RN,"5R,SBAR,투약오류",newsletter,
04,입사 첫달 버티는 법 (1),정보형,신규RN,"RN,LPN,OCS",card,환자안전주간
05,나이트 근무 전 준비물 (2),정보형,신규RN,"태움,인계,바이탈",kakao,
06,선배가 알려준 인계 꿀팁 (3),정보형,신규RN,"듀티표,3교대,콜벨",newsletter,
07,신규 간호사 필수 약어 (1),유머형,신규RN,"프리셉터,태움,라운딩",card,환자안전주간
08,태움 없는 병동 만들기 캠페인 (2),유머형,신규RN,"나이트,번아웃,듀티표",kakao,
09,프리셉터에게 물어봐도 되는 질문 리스트 (3),유머형,신규RN,"5R,SBAR,투약오류",newsletter,
10,실습 중 자주 듣는 질문 (1),공감형,간호학생,"국시,실습,나이팅게일 선서",card,환자안전주간
11,국시 준비 스터디 꾸리는 법 (2),공감형,간호학생,"실습,태움,콜벨",kakao,
12,실습 나가기 전 챙길 것 (3),공감형,간호학생,"국시,면허,EMR",newsletter,
13,임상 실습 브이로그 소재 (1),정보형,간호학생,"실습,프리셉터,라운딩",card,환자안전주간
14,RN 되기 전 알아야 할 것들 (2),정보형,간호학생,"RN,LPN,면허",kakao,
15,면허 취득 후 진로 고민 (3),정보형,간호학생,"SBAR,인계,바이탈",newsletter,
16,실습지 병동별 특징 비교 (1),유머형,간호학생,"국시,실습,나이팅게일 선서",card,환자안전주간
17,선배 간호사가 해준 조언 (2),유머형,간호학생,"실습,태움,콜벨",kakao,
18,국시 D-100 다짐 (3),유머형,간호학생,"국시,면허,EMR",newsletter,
19,인계 잘하는 법 A to Z (1),공감형,경력RN,"3교대,번아웃,듀티표",card,환자안전주간
20,병동 이동 후 적응기 (2),공감형,경력RN,"재취업,RN,프리셉터",kakao,
21,"경력 10년, 달라진 것들 (3)",공감형,경력RN,"이직,라운딩,인력기준",newsletter,
22,이직 고민할 때 체크리스트 (1),정보형,경력RN,"간호법,업무범위,처우개선",card,환자안전주간
23,후배들에게 해주고 싶은 말 (2),정보형,경력RN,"인계,태움,SBAR",kakao,
24,번아웃 극복한 나만의 방법 (3),정보형,경력RN,"3교대,콜벨,인계",newsletter,
25,간호법 시행 후 달라진 업무 (1),유머형,경력RN,"3교대,번아웃,듀티표",card,환자안전주간
26,재취업 준비 꿀팁 (2),유머형,경력RN,"재취업,RN,프리셉터",kakao,
27,주사 실수 줄이는 법,정보형,신규RN,,card,
28,실습 마지막 날 소감,공감형,간호학생,,card,
29,경력직 첫 출근 긴장 포인트,공감형,경력RN,,card,
30,나이트 근무 루틴 브이로그,유머형,신규RN,,card,
31,국시 합격자 인터뷰,정보형,간호학생,,card,
32,교대 근무 적응 꿀팁,유모형,신규RN,"듀티표,3교대,라운딩",kakao,
33,실습 나가기 전 마인드셋,정보 형,간호학생,"실습,프리셉터,국시",newsletter,
34,경력 단절 재취업 이야기,공감형,경력알엔,"재취업,RN,이직",kakao,
35,신규 적응기 브이로그,유머형,신규 RN,"태움,인계,콜벨",card,
36,병동별 인계 스타일 비교,정보형,경력RN,인계;태움;SBAR,card,
37,실습 전 챙겨야 할 준비물,공감형,간호학생,"실습,프리셉터,라운딩,",card,
38,신규 필수 체크리스트,정보형,신규RN,"RN,,LPN,OCS",newsletter,
39,3교대 노하우 모음,유머형,경력RN," 3교대 , 콜벨 , 인계 ",kakao,
40,간호주간 특별 콘텐츠,공감형,경력RN,"인력기준,처우개선,3교대",newsletter,간호주간
41,재유행 대비 감염관리 루틴,정보형,신규RN,"감염관리,SBAR,투약오류",card,코로나19 재유행
42,면허 갱신 시즌 체크사항,정보형,간호학생,"면허,국시,EMR",newsletter,면허 갱신 시즌
43,"처우개선 발표, 현장 반응은?",정보형,경력RN,"처우개선,간호법,업무범위",card,간호사 처우개선 발표
44,나이트 근무 버티는 법,공감형,신규RN,"나이트,번아웃,듀티표",kakao,
45,나이트 근무 버티는 법,공감형,신규RN,"나이트,번아웃,듀티표",kakao,
46,실습 후기 모음,유머형,간호학생,"실습,콜벨,태움",card,
47,실습 후기 모음,유머형,간호학생,"실습,콜벨,태움",card,
48,선배가 알려준 인계 꿀팁 모음,유머형,신규RN,"인계,태움,콜벨",kakao,
49,선배가 알려준 인계 꿀팁 모음,유머형,경력RN,"인계,SBAR,3교대",kakao,
50,,공감형,간호학생,"실습,프리셉터,라운딩",card,
