id,topic,tone,target_audience,keywords_required,platform_hint,ref_event
01,프리셉터와 처음 만나는 날 마음가짐,공감형,신규RN,"프리셉터,태움,라운딩",card,간호사 국가시험 합격발표
02,나이트 3연속 버티는 신규의 멘탈 관리,공감형,신규RN,"나이트,번아웃,듀티표",kakao,
03,투약 오류 막는 신규 체크 루틴,정보형,신규RN,"5R,SBAR,투약오류",newsletter,환자안전주간
04,입사 첫 주에 외워야 할 약어 모음,정보형,신규RN,"RN,LPN,OCS,EMR",card,
05,프리셉터 없는 날 멘붕 극복기(웃으며 넘기기),유머형,신규RN,"프리셉터,라운딩,콜벨",kakao,
06,신규의 '나만 못하나' 흑역사 모음,유머형,신규RN,"태움,인계,바이탈",card,스승의날
07,국시 D-30 합격 루틴 함께 만들기,공감형,간호학생,"국시,실습,나이팅게일 선서",newsletter,간호사 국가시험 합격발표
08,실습 첫날 병동에서 살아남기,공감형,간호학생,"실습,프리셉터,라운딩",card,
09,간호학생이 미리 알면 좋은 RN/LPN 차이,정보형,간호학생,"RN,LPN,면허",newsletter,
10,임상 들어가기 전 SBAR 미리보기,정보형,간호학생,"SBAR,인계,바이탈",card,간호사 국가시험 합격발표
11,실습 나가서 듣는 웃픈 한마디 모음,유머형,간호학생,"실습,태움,콜벨",kakao,
12,국시 끝나고 우리가 하고 싶은 것들,유머형,간호학생,,card,간호사 국가시험 합격발표
13,3교대 10년차가 후배에게 전하는 위로,공감형,경력RN,"3교대,번아웃,듀티표",newsletter,
14,경력 단절 후 재취업 다시 시작하는 당신에게,공감형,경력RN,"재취업,RN,프리셉터",kakao,
15,경력직 이직 전 꼭 보는 병동 체크리스트,정보형,경력RN,"이직,라운딩,인력기준",newsletter,간호법 시행
16,간호법 시행으로 달라지는 현장 포인트,정보형,경력RN,"간호법,업무범위,처우개선",card,간호법 시행
17,실습 나가서 듣는 웃픈 한마디 모음,유머형,경력RN,"3교대,콜벨,인계",kakao,
18,경력RN의 '라떼는' 인계 잔혹사,유머형,경력RN,"인계,태움,SBAR",card,
